"emp_no","last_name","first_name","sex","salary"
14453,"Paciorek","Jaewon","F",40000
14454,"Ananiadou","Gita","F",74305
14460,"Lueh","Yagil","F",56267
14464,"Binding","Christoper","M",54508
14467,"Broder","Lena","M",40000
14469,"Rusmann","Dannz","F",40000
14476,"Marrevee","Sastry","M",72512
14485,"Comte","Shai","F",40000
14488,"Luks","Zijian","M",51847
14489,"Lanzelotte","Khue","F",77126
14495,"Denna","Tokuyasu","M",40000
14497,"Molenkamp","Armond","M",55199
14503,"Beerel","Bernd","F",45250
14521,"Back","Sumali","F",45095
14529,"Covnot","Murthy","M",67393
14532,"Docker","Duangkaew","F",52081
14533,"Borovoy","Kensei","M",48376
14544,"Janetzko","Licheng","F",104153
14551,"Sinitsyn","Richard","M",83296
14553,"Selvestrel","Uri","M",66099
14564,"Christ","Tadahiro","F",62163
14566,"Thibadeau","Duke","M",40000
14572,"Remmele","Jasminko","M",40000
14584,"Undy","Oldrich","F",43480
14590,"Luce","Huei","F",73239
14606,"Kroon","Kish","F",40000
14616,"Rouquie","Kokou","F",50617
14617,"Parfitt","Tse","F",40000
14619,"Lukaszewicz","Debaprosad","M",69713
14621,"Wixon","Souichi","F",66404
14633,"Schahn","Uli","M",61842
14639,"Hempstead","Arvind","F",79405
14644,"Oxman","Yefim","F",68552
14655,"Segond","Jingling","M",65742
14658,"Morton","Mohd","M",61961
14664,"Lores","Stafford","F",40000
14679,"Chepyzhov","Danae","F",58585
14680,"Katzenelson","Martine","F",40000
14682,"Lalonde","Jamaludin","M",40000
14696,"Binkley","Shuky","M",40000
14700,"Taneja","Ghassan","M",47864
14715,"Knightly","Chuanyi","F",56707
14719,"Luga","Willard","M",52131
14720,"Trystram","Shushma","F",40000
14732,"Ohori","Heejo","M",52144
14733,"Hofting","Adam","F",59021
14735,"Kavanagh","Hisao","M",65394
14736,"Bala","Martial","F",80477
14737,"Impagliazzo","Houman","M",89983
14739,"Piancastelli","Ute","M",40000
14746,"Baalen","Uri","F",46307
14751,"Shackel","Kazunori","M",42780
14788,"Vigier","Eishiro","M",40000
14792,"Michaeli","Aiichiro","M",46623
14803,"Rodite","Faiza","M",40000
14805,"Ramalingam","Elliott","M",93084
14808,"Billingsley","Pragnesh","M",40000
14829,"Wilharm","Bojan","M",52630
14844,"Rabejac","Mats","M",56196
14846,"Joslin","Magy","M",40002
14861,"Piazza","Bangqing","M",40000
14866,"Gihr","Takahira","M",48691
14869,"Redmiles","Mayuko","M",40000
14889,"Solovay","Subhash","M",52734
14891,"Smeets","Lalit","M",78173
14897,"Grabner","Alair","M",41853
14910,"Bahi","Georgy","M",53832
14913,"Fujisaki","Karlis","F",49169
14914,"Benzaken","Gretta","F",40000
14915,"Picco","Huican","M",40733
14922,"Reinhart","Bluma","M",49230
14927,"Birsak","Jungsoon","M",40588
14929,"Hanratty","Mads","M",53241
14930,"Yetim","Faiza","M",42712
14945,"Chartres","Fumino","F",45848
14966,"Underwood","Zhanqiu","F",80123
14969,"Himler","Hongzue","F",88575
14971,"Simmen","Fan","M",55187
14984,"Parhami","Sangeeta","F",40000
14985,"Syang","Almudena","F",63747
14996,"Schahn","Jianhao","F",40000
14998,"Brandsma","Subir","M",40000
15006,"Cools","Miquel","F",53845
15017,"Thorelli","Xiaobin","M",40000
15023,"Dredge","Sumant","M",51362
15027,"Tomescu","Sudhanshu","M",40000
15044,"Vrecion","Joydip","M",46042
15049,"Waymire","Khun","F",40000
15051,"Strooper","Wanqing","M",40000
15064,"Comyn","Wilmer","F",83820
15076,"Shobatake","Makato","F",54929
15081,"Condotta","Ger","M",40000
15090,"Copas","Collette","M",61094
15098,"Hutter","Shaleah","M",42629
15104,"Rodite","Badri","M",40000
15112,"Heyers","Anyuan","M",44588
15113,"Giaccio","Zhiguo","M",62081
15114,"Honglei","Pantung","M",40000
15121,"Benzmuller","Tommaso","F",47736
15129,"Baalen","Reinhard","F",40000
15135,"Hitomi","Koldo","M",52651
15147,"Pesch","Kwangyoen","M",52179
15153,"Nilsson","Kazunori","M",40000
15177,"Luiz","Kousuke","M",40000
15178,"Bernini","Kazuyasu","M",44701
15180,"Schiettecatte","Shahid","M",63729
15192,"Goodrum","Felicidad","F",40000
15201,"Heering","Hatsukazu","F",40000
15205,"Rodiger","Cheong","M",43795
15208,"Shokrollahi","Sudharsan","F",44109
15224,"Michaeli","Premsyl","F",54629
15227,"Schusler","Bernd","M",72041
15236,"Perng","Haldun","F",40000
15238,"Vandervoorde","Arunas","M",74949
15239,"Munke","Guangming","M",40000
15263,"Loncour","Sanjeeva","F",72318
15272,"Choobineh","Aruna","M",40000
15285,"Veeraraghavan","Yurii","M",40000
15295,"Peak","Lobel","M",54607
15321,"Gecsel","Ishfaq","M",40000
15329,"Openshaw","Fan","F",41839
15338,"Wilfing","Caolyn","F",40387
15342,"Osgood","Gopalakrishnan","M",58617
15359,"Schmiedel","Yinlin","M",85086
15368,"Lortz","Seongbin","F",44844
15369,"Penttonen","Premal","F",81954
15377,"Aumann","Shugo","M",50274
15382,"Siegrist","Alassane","M",66083
15405,"Munch","Richard","M",40000
15411,"Morrin","Seongbin","M",40000
15417,"Zhiwei","Mabo","F",40727
15421,"Papadias","Yaghout","F",40000
15422,"Wolniewicz","Vesna","M",64396
15424,"Fontet","Tremaine","M",40000
15430,"Egerstedt","Aamod","M",47875
15452,"Weedman","Kazuhira","M",40000
15461,"Gronowski","Marsha","F",54875
15470,"Huhdanpaa","Weiwu","M",40693
15474,"Plumb","Gilbert","M",90430
15479,"Soicher","Zhenbing","M",40000
15488,"Gimbel","Reuven","M",40356
15512,"Waymire","Mitsuyuki","M",59369
15514,"Babu","Lene","M",44940
15529,"Joslin","Jacopo","M",40000
15532,"Lalonde","Bangqing","M",53298
15539,"Spieker","Shigeichiro","M",47803
15556,"Broomell","Jianwen","F",67576
15559,"Gini","Zhiguo","M",46835
15561,"Tchuente","Hideyuki","F",56591
15564,"DiGiano","Lorien","F",48503
15576,"Baak","Sadegh","M",40000
15583,"Denny","Kasidit","M",85961
15599,"Piancastelli","Filipe","M",63466
15613,"Socorro","Kayoko","F",44130
15628,"Cusworth","Fatemeh","F",47624
15631,"Petereit","Rafols","M",40000
15637,"Barinka","Vincent","M",73742
15645,"Anido","Mingsen","F",54656
15652,"Sundgren","Tokuyasu","F",40000
